Time		Angle
1330432	426	640
2429912	835	7452
3519396	1218	14150
4618884	1609	20988
5717836	2015	27813
6816184	2397	34632
7907316	2808	41536
9006796	3201	48465
10106272	3601	55378
11205764	3987	62242
12305188	4390	69052
13394716	4779	75858
14494196	5171	82696
15593676	5563	89552
16693152	5967	96402
17791224	6354	103138
18883896	6750	109940
19983500	7142	116761
21083104	7539	123592
22180560	7948	130407
23280040	8335	137151
24377288	8723	143875
25468996	9114	150639
26568476	9505	157428
27667952	9903	164212
28767440	10306	170976
29866912	10709	177766
30966392	11102	184536
32065868	11504	191323
33165348	11880	198102
34264828	12282	204828
35364308	12672	211599
36463784	13070	218360
37563264	13475	225147
38662744	13863	231933
39761084	14275	238666
40853992	14663	245442
41951188	15068	252211
43052596	15443	259016
44151980	15842	265836
45251360	16246	272634
46350724	16644	279454
47448580	17031	286272
48549312	17423	293100
49648788	17824	299942
50747024	18213	306784
51846496	18609	313637
52945976	19005	320473
54046492	19402	327309
55145744	19803	334152
56245476	20211	340988
57344820	20595	347843
58443372	20994	354687
59543868	21390	361536
60643588	21778	368376
61741816	22176	375198
62841288	22563	382029
63940768	22972	388857
65040248	23371	395687
66138448	23751	402459
67229208	24161	409215
68328688	24541	415999
69428168	24952	422787
70527644	25342	429523
71627124	25738	436304
72726604	26133	443058
73826084	26521	449826
74925564	26916	456594
76025040	27326	463319
77124520	27716	470080
78224000	28104	476790
79323480	28514	483535
80422960	28893	490278
81522436	29302	496957
82621916	29701	503676
83721396	30085	510311
84820876	30491	516989
85920356	30871	523662
87019836	31274	530239
88119312	31682	536860
89218792	32073	543338
90318272	32462	549916
91417752	32873	556499
92517232	33247	563005
93616712	33652	569572
94716188	34038	576064
95815668	34438	582625
96915148	34850	589191
98014628	35247	595686
99114108	35639	602242
100213588	36023	608734
101313068	36428	615373
102412544	36828	622072
103512024	37221	628779
104611504	37603	635565
105710984	38018	642372
106810464	38394	649199
107918064	38800	656029
109019420	39209	662909
110118904	39588	669821
111218376	39988	676708
112317856	40390	683580
113417336	40792	690450
114516816	41166	697276
115616296	41566	704126
116715780	41961	710906
117815252	42358	717691
118914732	42762	724439
120014216	43149	731147
121113696	43560	737909
122213168	43949	744629
123312648	44356	751426
124412128	44734	758197
125511608	45143	764974
126611088	45526	771829
127718824	45930	778688
128820040	46326	785594
